provincia_id,provincia_nombre,anio,codigo_delito_snic_id,codigo_delito_snic_nombre,cantidad_hechos,cantidad_victimas,cantidad_victimas_masc,cantidad_victimas_fem,cantidad_victimas_sd,tasa_hechos,tasa_victimas,tasa_victimas_masc,tasa_victimas_fem
02,Ciudad Autónoma de Buenos Aires,2001.0,6,Lesiones culposas en Accidentes Viales,7422.0,8441.0,5430.0,3011.0,0.0,247.78018,281.79904,395.81384,185.45894
02,Ciudad Autónoma de Buenos Aires,2001.0,7,Lesiones culposas por otros hechos,794.0,861.0,483.0,377.0,1.0,26.507338,28.744102,35.207752,23.220863
02,Ciudad Autónoma de Buenos Aires,2001.0,8,Otros delitos contra las personas,1803.0,2101.0,1117.0,981.0,3.0,60.192356,70.14095,81.42248,60.42352
02,Ciudad Autónoma de Buenos Aires,2001.0,9,Delitos contra el honor,4.0,5.0,3.0,2.0,0.0,0.13353823,0.16692278,0.21868168,0.1231876
02,Ciudad Autónoma de Buenos Aires,2001.0,10,Abusos sexuales con acceso carnal (violaciones),200.0,231.0,26.0,204.0,1.0,6.6769114,7.7118325,1.8952413,12.565135
02,Ciudad Autónoma de Buenos Aires,2001.0,11,Otros delitos contra la integridad sexual,454.0,514.0,81.0,421.0,12.0,15.156589,17.159662,5.9044056,25.93099
02,Ciudad Autónoma de Buenos Aires,2001.0,12,Delitos contra el estado civil,1.0,,,,,0.033384558,,,
02,Ciudad Autónoma de Buenos Aires,2001.0,13,Amenazas,11397.0,,,,,380.4838,,,
02,Ciudad Autónoma de Buenos Aires,2001.0,14,Otros delitos contra la libertad,3880.0,3880.0,0.0,0.0,3880.0,129.53207,129.53207,0.0,0.0
02,Ciudad Autónoma de Buenos Aires,2001.0,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),69474.0,,,,,2319.3586,,,
02,Ciudad Autónoma de Buenos Aires,2001.0,16,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),3183.0,,,,,106.26305,,,
02,Ciudad Autónoma de Buenos Aires,2001.0,17,Robos agravados por el resultado de lesiones y/o muertes,173.0,,,,,5.7755284,,,
02,Ciudad Autónoma de Buenos Aires,2001.0,18,Tentativas de robo agravado por el resultado de lesiones y/o muertes,38.0,,,,,1.2686131,,,
02,Ciudad Autónoma de Buenos Aires,2001.0,19,Hurtos,61671.0,,,,,2058.859,,,
02,Ciudad Autónoma de Buenos Aires,2001.0,20,Tentativas de hurto,833.0,,,,,27.809336,,,
02,Ciudad Autónoma de Buenos Aires,2001.0,21,Otros delitos contra la propiedad,7412.0,,,,,247.44633,,,
02,Ciudad Autónoma de Buenos Aires,2001.0,22,Delitos contra la seguridad pública,677.0,,,,,22.601345,,,
02,Ciudad Autónoma de Buenos Aires,2001.0,23,Delitos contra el orden público,2612.0,,,,,87.20046,,,
02,Ciudad Autónoma de Buenos Aires,2001.0,24,Delitos contra la seguridad de la nación,2.0,,,,,0.066769116,,,
02,Ciudad Autónoma de Buenos Aires,2001.0,25,Delitos contra los poderes públicos y el orden constitucional,11.0,,,,,0.36723012,,,
02,Ciudad Autónoma de Buenos Aires,2001.0,26,Delitos contra la administración pública,2240.0,,,,,74.7814,,,
02,Ciudad Autónoma de Buenos Aires,2001.0,27,Delitos contra la fe pública,807.0,,,,,26.941338,,,
02,Ciudad Autónoma de Buenos Aires,2001.0,28,Ley 23.737 (estupefacientes),9408.0,,,,,314.0819,,,
02,Ciudad Autónoma de Buenos Aires,2001.0,29,Delitos previstos en otras leyes,4273.0,,,,,142.6522,,,
02,Ciudad Autónoma de Buenos Aires,2001.0,30,Contravenciones,35.0,,,,,1.1684594,,,
02,Ciudad Autónoma de Buenos Aires,2001.0,31,Suicidios (consumados),317.0,317.0,0.0,0.0,317.0,11.23502,11.23502,0.0,0.0
02,Ciudad Autónoma de Buenos Aires,2002.0,1,Homicidios dolosos,171.0,179.0,148.0,31.0,0.0,5.701796,5.968547,10.759239,1.909489
02,Ciudad Autónoma de Buenos Aires,2002.0,2,Homicidios dolosos en grado de tentativa,36.0,48.0,36.0,11.0,1.0,1.2003781,1.6005042,2.6171122,0.6775606
02,Ciudad Autónoma de Buenos Aires,2002.0,3,Muertes en accidentes viales,105.0,106.0,69.0,37.0,0.0,3.501103,3.5344467,5.0161314,2.2790675
02,Ciudad Autónoma de Buenos Aires,2002.0,4,Homicidios culposos por otros hechos,18.0,19.0,13.0,4.0,2.0,0.60018903,0.6335329,0.9450683,0.24638568
02,Ciudad Autónoma de Buenos Aires,2002.0,5,Lesiones dolosas,13773.0,14306.0,8145.0,6160.0,1.0,459.24466,477.01694,592.12164,379.43393
02,Ciudad Autónoma de Buenos Aires,2002.0,6,Lesiones culposas en Accidentes Viales,7076.0,8139.0,5268.0,2871.0,0.0,235.941,271.3855,382.97073,176.84332
02,Ciudad Autónoma de Buenos Aires,2002.0,7,Lesiones culposas por otros hechos,742.0,813.0,416.0,395.0,2.0,24.741127,27.10854,30.242186,24.330585
02,Ciudad Autónoma de Buenos Aires,2002.0,8,Otros delitos contra las personas,1611.0,1689.0,853.0,833.0,3.0,53.71692,56.31774,62.011017,51.30982
02,Ciudad Autónoma de Buenos Aires,2002.0,9,Delitos contra el honor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02,Ciudad Autónoma de Buenos Aires,2002.0,10,Abusos sexuales con acceso carnal (violaciones),202.0,204.0,20.0,184.0,0.0,6.735455,6.8021426,1.4539512,11.333741
02,Ciudad Autónoma de Buenos Aires,2002.0,11,Otros delitos contra la integridad sexual,396.0,418.0,62.0,356.0,0.0,13.20416,13.937724,4.507249,21.928326
02,Ciudad Autónoma de Buenos Aires,2002.0,12,Delitos contra el estado civil,1.0,,,,,0.033343837,,,
02,Ciudad Autónoma de Buenos Aires,2002.0,13,Amenazas,12491.0,,,,,416.49786,,,
02,Ciudad Autónoma de Buenos Aires,2002.0,14,Otros delitos contra la libertad,3048.0,3048.0,0.0,0.0,3048.0,101.63201,101.63201,0.0,0.0
02,Ciudad Autónoma de Buenos Aires,2002.0,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),71592.0,,,,,2387.1519,,,
02,Ciudad Autónoma de Buenos Aires,2002.0,16,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),3565.0,,,,,118.87078,,,
02,Ciudad Autónoma de Buenos Aires,2002.0,17,Robos agravados por el resultado de lesiones y/o muertes,105.0,,,,,3.501103,,,
02,Ciudad Autónoma de Buenos Aires,2002.0,18,Tentativas de robo agravado por el resultado de lesiones y/o muertes,21.0,,,,,0.7002206,,,
02,Ciudad Autónoma de Buenos Aires,2002.0,19,Hurtos,61597.0,,,,,2053.8804,,,
02,Ciudad Autónoma de Buenos Aires,2002.0,20,Tentativas de hurto,893.0,,,,,29.776047,,,
02,Ciudad Autónoma de Buenos Aires,2002.0,21,Otros delitos contra la propiedad,7008.0,,,,,233.67361,,,
02,Ciudad Autónoma de Buenos Aires,2002.0,22,Delitos contra la seguridad pública,338.0,,,,,11.270217,,,
02,Ciudad Autónoma de Buenos Aires,2002.0,23,Delitos contra el orden público,290.0,,,,,9.669713,,,
02,Ciudad Autónoma de Buenos Aires,2002.0,24,Delitos contra la seguridad de la nación,0.0,,,,,0.0,,,
02,Ciudad Autónoma de Buenos Aires,2002.0,25,Delitos contra los poderes públicos y el orden constitucional,11.0,,,,,0.3667822,,,
02,Ciudad Autónoma de Buenos Aires,2002.0,26,Delitos contra la administración pública,2512.0,,,,,83.75972,,,
02,Ciudad Autónoma de Buenos Aires,2002.0,27,Delitos contra la fe pública,1134.0,,,,,37.811913,,,
02,Ciudad Autónoma de Buenos Aires,2002.0,28,Ley 23.737 (estupefacientes),9855.0,,,,,328.60352,,,
02,Ciudad Autónoma de Buenos Aires,2002.0,29,Delitos previstos en otras leyes,3724.0,,,,,124.17245,,,
